7 |2025-06-09 16:01:09.1630 |DEBUG |LearningPhase2 |LearningPhase2.Pages.EmployeeNTier.ListModel.OnGet |Calling list OnGet method
7 |2025-06-09 16:01:09.2769 |DEBUG |Service Layer |SeviceLayer.EmployeeManager.GetAll |Fetching all records
7 |2025-06-09 16:01:09.2960 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetching record from DB
7 |2025-06-09 16:01:09.7010 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetched records from DB count - 13
7 |2025-06-09 16:01:09.7010 |DEBUG |Service Layer |SeviceLayer.EmployeeManager.GetAll |Fetched all records
7 |2025-06-09 16:01:09.7010 |DEBUG |LearningPhase2 |LearningPhase2.Pages.EmployeeNTier.ListModel.OnGet |List page OnGet method completed
7 |2025-06-09 16:01:33.5391 |DEBUG |LearningPhase2 |LearningPhase2.Pages.Companies.AddCompanyDetailsModel.OnPost |Calling Companies OnPost method to storing Form values
7 |2025-06-09 16:01:33.5731 |DEBUG |Service Layer |SeviceLayer.CompanyManager.AddCompany |Added department from service layer
7 |2025-06-09 16:17:52.3532 |DEBUG |LearningPhase2 |LearningPhase2.Pages.EmployeeNTier.ListModel.OnGet |Calling list OnGet method
7 |2025-06-09 16:17:52.3801 |DEBUG |Service Layer |SeviceLayer.EmployeeManager.GetAll |Fetching all records
7 |2025-06-09 16:17:52.3981 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetching record from DB
7 |2025-06-09 16:17:52.8426 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetched records from DB count - 13
7 |2025-06-09 16:17:52.8426 |DEBUG |Service Layer |SeviceLayer.EmployeeManager.GetAll |Fetched all records
7 |2025-06-09 16:17:52.8426 |DEBUG |LearningPhase2 |LearningPhase2.Pages.EmployeeNTier.ListModel.OnGet |List page OnGet method completed
5 |2025-06-09 16:18:10.0912 |DEBUG |LearningPhase2 |LearningPhase2.Pages.Companies.AddCompanyDetailsModel.OnPost |Calling Companies OnPost method to storing Form values
5 |2025-06-09 16:18:10.0912 |DEBUG |Service Layer |SeviceLayer.CompanyManager.AddCompany |Added department from service layer
5 |2025-06-09 16:18:14.9714 |DEBUG |LearningPhase2 |LearningPhase2.Pages.Companies.AddCompanyDetailsModel.OnPost |Called Onpost method to Add the department
5 |2025-06-09 16:18:14.9835 |DEBUG |LearningPhase2 |LearningPhase2.Pages.EmployeeNTier.ListModel.OnGet |Calling list OnGet method
5 |2025-06-09 16:18:14.9835 |DEBUG |Service Layer |SeviceLayer.EmployeeManager.GetAll |Fetching all records
5 |2025-06-09 16:18:14.9835 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetching record from DB
5 |2025-06-09 16:18:14.9835 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetched records from DB count - 13
5 |2025-06-09 16:18:14.9921 |DEBUG |Service Layer |SeviceLayer.EmployeeManager.GetAll |Fetched all records
5 |2025-06-09 16:18:14.9921 |DEBUG |LearningPhase2 |LearningPhase2.Pages.EmployeeNTier.ListModel.OnGet |List page OnGet method completed
3 |2025-06-09 16:20:08.6762 |DEBUG |LearningPhase2 |LearningPhase2.Pages.EmployeeNTier.ListModel.OnGet |Calling list OnGet method
3 |2025-06-09 16:20:08.6762 |DEBUG |Service Layer |SeviceLayer.EmployeeManager.GetAll |Fetching all records
3 |2025-06-09 16:20:08.6791 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetching record from DB
3 |2025-06-09 16:20:08.7933 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetched records from DB count - 13
3 |2025-06-09 16:20:08.7933 |DEBUG |Service Layer |SeviceLayer.EmployeeManager.GetAll |Fetched all records
3 |2025-06-09 16:20:08.7933 |DEBUG |LearningPhase2 |LearningPhase2.Pages.EmployeeNTier.ListModel.OnGet |List page OnGet method completed
