5 |2025-06-05 11:31:14.6474 |DEBUG |LearningPhase2 |LearningPhase2.Pages.Account.LogoutModel.OnGet |Logout.cshtml.cs onGet method executing
7 |2025-06-05 11:31:49.2074 |DEBUG |LearningPhase2 |LearningPhase2.Pages.EmployeeNTier.ListModel.OnGet |Calling list OnGet method
7 |2025-06-05 11:31:49.2074 |DEBUG |Service Layer |SeviceLayer.EmployeeManager.GetAll |Fetching all records
7 |2025-06-05 11:31:49.2074 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetching record from DB
7 |2025-06-05 11:31:49.3220 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetched records from DB count - 13
7 |2025-06-05 11:31:49.3220 |DEBUG |Service Layer |SeviceLayer.EmployeeManager.GetAll |Fetched all records
7 |2025-06-05 11:31:49.3220 |DEBUG |LearningPhase2 |LearningPhase2.Pages.EmployeeNTier.ListModel.OnGet |List page OnGet method completed
20 |2025-06-05 11:31:52.2390 |DEBUG |LearningPhase2 |LearningPhase2.Pages.Account.LogoutModel.OnGet |Logout.cshtml.cs onGet method executing
7 |2025-06-05 11:32:05.9872 |DEBUG |LearningPhase2 |LearningPhase2.Pages.EmployeeNTier.ListModel.OnGet |Calling list OnGet method
7 |2025-06-05 11:32:05.9872 |DEBUG |Service Layer |SeviceLayer.EmployeeManager.GetAll |Fetching all records
7 |2025-06-05 11:32:05.9872 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetching record from DB
7 |2025-06-05 11:32:06.0904 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetched records from DB count - 13
7 |2025-06-05 11:32:06.0904 |DEBUG |Service Layer |SeviceLayer.EmployeeManager.GetAll |Fetched all records
7 |2025-06-05 11:32:06.0904 |DEBUG |LearningPhase2 |LearningPhase2.Pages.EmployeeNTier.ListModel.OnGet |List page OnGet method completed
5 |2025-06-05 11:32:24.9665 |DEBUG |LearningPhase2 |LearningPhase2.Pages.Account.LogoutModel.OnGet |Logout.cshtml.cs onGet method executing
5 |2025-06-05 11:37:15.0959 |DEBUG |LearningPhase2 |LearningPhase2.Pages.EmployeeNTier.ListModel.OnGet |Calling list OnGet method
5 |2025-06-05 11:37:15.1142 |DEBUG |Service Layer |SeviceLayer.EmployeeManager.GetAll |Fetching all records
5 |2025-06-05 11:37:15.1142 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetching record from DB
5 |2025-06-05 11:37:15.2203 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetched records from DB count - 13
5 |2025-06-05 11:37:15.2203 |DEBUG |Service Layer |SeviceLayer.EmployeeManager.GetAll |Fetched all records
5 |2025-06-05 11:37:15.2220 |DEBUG |LearningPhase2 |LearningPhase2.Pages.EmployeeNTier.ListModel.OnGet |List page OnGet method completed
7 |2025-06-05 11:37:40.6262 |DEBUG |Service Layer |SeviceLayer.DepartmentManager.GetAll |Fetching department lists service layer
7 |2025-06-05 11:37:40.7314 |DEBUG |Service Layer |SeviceLayer.DepartmentManager.GetAll |Fetched department lists service layer
5 |2025-06-05 11:38:23.5335 |DEBUG |LearningPhase2 |LearningPhase2.Pages.EmployeeNTier.AddEmployeeModel.OnPost |Add employee OnPost method storing Form values
5 |2025-06-05 11:38:23.5358 |DEBUG |LearningPhase2 |LearningPhase2.Pages.EmployeeNTier.AddEmployeeModel.OnPost |Storing the image to the Filepath
5 |2025-06-05 11:38:23.5358 |DEBUG |LearningPhase2 |LearningPhase2.Pages.EmployeeNTier.AddEmployeeModel.OnPost | image has been stored
5 |2025-06-05 11:38:23.5358 |DEBUG |LearningPhase2 |LearningPhase2.Pages.EmployeeNTier.AddEmployeeModel.OnPost |Calling AddEmployee OnPost method
5 |2025-06-05 11:38:23.5358 |DEBUG |Service Layer |SeviceLayer.EmployeeManager.Add |This method Adds employee details going through some checks
5 |2025-06-05 11:38:23.5358 |DEBUG |Service Layer |SeviceLayer.EmployeeManager.GetByName |Fetching record with matching name
5 |2025-06-05 11:38:23.6610 |DEBUG |Service Layer |SeviceLayer.EmployeeManager.GetByName |Fetched record with matching name
5 |2025-06-05 11:38:23.6610 |DEBUG |Service Layer |SeviceLayer.EmployeeManager.GetByEmail |Fetching record with matching email id
5 |2025-06-05 11:38:23.7695 |DEBUG |Service Layer |SeviceLayer.EmployeeManager.GetByEmail |Fetched record with matching email id
5 |2025-06-05 11:38:23.7695 |DEBUG |Service Layer |SeviceLayer.EmployeeManager.Add |Added employee from servie layer
5 |2025-06-05 11:38:23.9448 |DEBUG |LearningPhase2 |LearningPhase2.Pages.EmployeeNTier.AddEmployeeModel.OnPost |Called AddEmployee OnPost method
21 |2025-06-05 11:38:23.9448 |DEBUG |LearningPhase2 |LearningPhase2.Pages.EmployeeNTier.ListModel.OnGet |Calling list OnGet method
21 |2025-06-05 11:38:23.9448 |DEBUG |Service Layer |SeviceLayer.EmployeeManager.GetAll |Fetching all records
