5 |2025-06-07 09:37:06.7573 |DEBUG |LearningPhase2 |LearningPhase2.Pages.Account.LoginModel.OnPost |Storing employee name as session data
5 |2025-06-07 09:37:06.7775 |DEBUG |LearningPhase2 |LearningPhase2.Pages.Account.LoginModel.OnPost |Storing employee id as session data
9 |2025-06-07 09:37:06.7930 |DEBUG |LearningPhase2 |LearningPhase2.Pages.EmployeeNTier.ListModel.OnGet |Calling list OnGet method
9 |2025-06-07 09:37:06.7930 |DEBUG |Service Layer |SeviceLayer.EmployeeManager.GetAll |Fetching all records
9 |2025-06-07 09:37:06.7930 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetching record from DB
9 |2025-06-07 09:37:06.9075 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetched records from DB count - 13
9 |2025-06-07 09:37:06.9075 |DEBUG |Service Layer |SeviceLayer.EmployeeManager.GetAll |Fetched all records
9 |2025-06-07 09:37:06.9075 |DEBUG |LearningPhase2 |LearningPhase2.Pages.EmployeeNTier.ListModel.OnGet |List page OnGet method completed
15 |2025-06-07 09:46:06.2249 |DEBUG |LearningPhase2 |LearningPhase2.Pages.Account.LogoutModel.OnGet |Logout.cshtml.cs onGet method executing
10 |2025-06-07 09:46:16.1545 |DEBUG |LearningPhase2 |LearningPhase2.Pages.Account.LoginModel.OnPost |Storing employee name as session data
10 |2025-06-07 09:46:16.1545 |DEBUG |LearningPhase2 |LearningPhase2.Pages.Account.LoginModel.OnPost |Storing employee id as session data
15 |2025-06-07 09:46:16.1717 |DEBUG |LearningPhase2 |LearningPhase2.Pages.EmployeeNTier.ListModel.OnGet |Calling list OnGet method
15 |2025-06-07 09:46:16.1717 |DEBUG |Service Layer |SeviceLayer.EmployeeManager.GetAll |Fetching all records
15 |2025-06-07 09:46:16.1717 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetching record from DB
15 |2025-06-07 09:46:16.2861 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetched records from DB count - 13
15 |2025-06-07 09:46:16.2861 |DEBUG |Service Layer |SeviceLayer.EmployeeManager.GetAll |Fetched all records
