7 |2025-06-06 11:48:34.3183 |DEBUG |LearningPhase2 |LearningPhase2.Pages.Account.LogoutModel.OnGet |Logout.cshtml.cs onGet method executing
9 |2025-06-06 11:51:15.5482 |DEBUG |LearningPhase2 |LearningPhase2.Pages.Account.LoginModel.OnPost |Storing employee name as session data
9 |2025-06-06 11:51:15.5673 |DEBUG |LearningPhase2 |LearningPhase2.Pages.Account.LoginModel.OnPost |Storing employee id as session data
10 |2025-06-06 11:51:15.5841 |DEBUG |LearningPhase2 |LearningPhase2.Pages.EmployeeNTier.ListModel.OnGet |Calling list OnGet method
10 |2025-06-06 11:51:15.5841 |DEBUG |Service Layer |SeviceLayer.EmployeeManager.GetAll |Fetching all records
10 |2025-06-06 11:51:15.5841 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetching record from DB
10 |2025-06-06 11:51:15.6960 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetched records from DB count - 13
10 |2025-06-06 11:51:15.6960 |DEBUG |Service Layer |SeviceLayer.EmployeeManager.GetAll |Fetched all records
10 |2025-06-06 11:51:15.6960 |DEBUG |LearningPhase2 |LearningPhase2.Pages.EmployeeNTier.ListModel.OnGet |List page OnGet method completed
5 |2025-06-06 11:56:56.8495 |DEBUG |LearningPhase2 |LearningPhase2.Pages.Account.LogoutModel.OnGet |Logout.cshtml.cs onGet method executing
9 |2025-06-06 11:57:08.0522 |DEBUG |LearningPhase2 |LearningPhase2.Pages.Account.LoginModel.OnPost |Storing employee name as session data
9 |2025-06-06 11:57:08.0522 |DEBUG |LearningPhase2 |LearningPhase2.Pages.Account.LoginModel.OnPost |Storing employee id as session data
5 |2025-06-06 11:57:08.0660 |DEBUG |LearningPhase2 |LearningPhase2.Pages.EmployeeNTier.ListModel.OnGet |Calling list OnGet method
5 |2025-06-06 11:57:08.0660 |DEBUG |Service Layer |SeviceLayer.EmployeeManager.GetAll |Fetching all records
5 |2025-06-06 11:57:08.0660 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetching record from DB
5 |2025-06-06 11:57:08.1805 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetched records from DB count - 13
5 |2025-06-06 11:57:08.1805 |DEBUG |Service Layer |SeviceLayer.EmployeeManager.GetAll |Fetched all records
5 |2025-06-06 11:57:08.1805 |DEBUG |LearningPhase2 |LearningPhase2.Pages.EmployeeNTier.ListModel.OnGet |List page OnGet method completed
9 |2025-06-06 12:01:05.8170 |DEBUG |LearningPhase2 |LearningPhase2.Pages.Account.LogoutModel.OnGet |Logout.cshtml.cs onGet method executing
5 |2025-06-06 12:01:20.2331 |DEBUG |LearningPhase2 |LearningPhase2.Pages.Account.LoginModel.OnPost |Storing employee name as session data
5 |2025-06-06 12:01:20.2331 |DEBUG |LearningPhase2 |LearningPhase2.Pages.Account.LoginModel.OnPost |Storing employee id as session data
5 |2025-06-06 12:01:20.2471 |DEBUG |LearningPhase2 |LearningPhase2.Pages.EmployeeNTier.ListModel.OnGet |Calling list OnGet method
5 |2025-06-06 12:01:20.2471 |DEBUG |Service Layer |SeviceLayer.EmployeeManager.GetAll |Fetching all records
5 |2025-06-06 12:01:20.2471 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetching record from DB
5 |2025-06-06 12:01:20.3575 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetched records from DB count - 13
5 |2025-06-06 12:01:20.3575 |DEBUG |Service Layer |SeviceLayer.EmployeeManager.GetAll |Fetched all records
5 |2025-06-06 12:01:20.3575 |DEBUG |LearningPhase2 |LearningPhase2.Pages.EmployeeNTier.ListModel.OnGet |List page OnGet method completed
7 |2025-06-06 12:03:23.7482 |DEBUG |LearningPhase2 |LearningPhase2.Pages.Account.LogoutModel.OnGet |Logout.cshtml.cs onGet method executing
10 |2025-06-06 12:03:34.5336 |DEBUG |LearningPhase2 |LearningPhase2.Pages.Account.LoginModel.OnPost |Storing employee name as session data
10 |2025-06-06 12:03:34.5336 |DEBUG |LearningPhase2 |LearningPhase2.Pages.Account.LoginModel.OnPost |Storing employee id as session data
10 |2025-06-06 12:03:34.5409 |DEBUG |LearningPhase2 |LearningPhase2.Pages.EmployeeNTier.ListModel.OnGet |Calling list OnGet method
10 |2025-06-06 12:03:34.5409 |DEBUG |Service Layer |SeviceLayer.EmployeeManager.GetAll |Fetching all records
10 |2025-06-06 12:03:34.5409 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetching record from DB
10 |2025-06-06 12:03:34.6425 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetched records from DB count - 13
10 |2025-06-06 12:03:34.6425 |DEBUG |Service Layer |SeviceLayer.EmployeeManager.GetAll |Fetched all records
10 |2025-06-06 12:03:34.6443 |DEBUG |LearningPhase2 |LearningPhase2.Pages.EmployeeNTier.ListModel.OnGet |List page OnGet method completed
10 |2025-06-06 12:04:54.9059 |DEBUG |LearningPhase2 |LearningPhase2.Pages.EmployeeNTier.EducationModel.OnPost |Calling AddEmployee OnPost method
10 |2025-06-06 12:05:09.0563 |DEBUG |Service Layer |SeviceLayer.EmployeeManager.Add |This method Adds employee details going through some checks
10 |2025-06-06 12:05:09.7760 |DEBUG |Service Layer |SeviceLayer.EmployeeManager.GetByName |Fetching record with matching name
10 |2025-06-06 12:05:17.5546 |DEBUG |Service Layer |SeviceLayer.EmployeeManager.GetByName |Fetched record with matching name
5 |2025-06-06 12:13:06.6716 |DEBUG |LearningPhase2 |LearningPhase2.Pages.Account.LogoutModel.OnGet |Logout.cshtml.cs onGet method executing
7 |2025-06-06 12:13:24.1332 |DEBUG |LearningPhase2 |LearningPhase2.Pages.Account.LoginModel.OnPost |Storing employee name as session data
7 |2025-06-06 12:13:24.1332 |DEBUG |LearningPhase2 |LearningPhase2.Pages.Account.LoginModel.OnPost |Storing employee id as session data
10 |2025-06-06 12:13:24.1484 |DEBUG |LearningPhase2 |LearningPhase2.Pages.EmployeeNTier.ListModel.OnGet |Calling list OnGet method
10 |2025-06-06 12:13:24.1484 |DEBUG |Service Layer |SeviceLayer.EmployeeManager.GetAll |Fetching all records
10 |2025-06-06 12:13:24.1484 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetching record from DB
10 |2025-06-06 12:13:24.2665 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetched records from DB count - 13
10 |2025-06-06 12:13:24.2665 |DEBUG |Service Layer |SeviceLayer.EmployeeManager.GetAll |Fetched all records
10 |2025-06-06 12:13:24.2665 |DEBUG |LearningPhase2 |LearningPhase2.Pages.EmployeeNTier.ListModel.OnGet |List page OnGet method completed
9 |2025-06-06 12:13:43.8593 |DEBUG |LearningPhase2 |LearningPhase2.Pages.EmployeeNTier.EducationModel.OnPost |Calling AddEmployee OnPost method
