7 |2025-06-09 16:48:00.7729 |DEBUG |LearningPhase2 |LearningPhase2.Pages.EmployeeNTier.ListModel.OnGet |Calling list OnGet method
7 |2025-06-09 16:48:00.8003 |DEBUG |Service Layer |SeviceLayer.EmployeeManager.GetAll |Fetching all records
7 |2025-06-09 16:48:00.8174 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetching record from DB
7 |2025-06-09 16:48:01.2267 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetched records from DB count - 13
7 |2025-06-09 16:48:01.2267 |DEBUG |Service Layer |SeviceLayer.EmployeeManager.GetAll |Fetched all records
7 |2025-06-09 16:48:01.2267 |DEBUG |LearningPhase2 |LearningPhase2.Pages.EmployeeNTier.ListModel.OnGet |List page OnGet method completed
7 |2025-06-09 16:48:42.4142 |DEBUG |LearningPhase2 |LearningPhase2.Pages.Companies.AddCompanyDetailsModel.OnPost |Calling Companies OnPost method to storing Form values
7 |2025-06-09 16:48:42.4142 |DEBUG |Service Layer |SeviceLayer.CompanyManager.AddCompany |Added department from service layer
7 |2025-06-09 16:48:44.0372 |DEBUG |LearningPhase2 |LearningPhase2.Pages.Companies.AddCompanyDetailsModel.OnPost |Called Onpost method to Add the department
21 |2025-06-09 16:48:44.0497 |DEBUG |LearningPhase2 |LearningPhase2.Pages.Companies.CompanyListModel.OnGet |Calling Departmentlist OnGet method
21 |2025-06-09 16:48:44.0497 |DEBUG |Service Layer |SeviceLayer.CompanyManager.GetAllCompanies |Fetching department lists service layer
21 |2025-06-09 16:48:44.0569 |DEBUG |Service Layer |SeviceLayer.CompanyManager.GetAllCompanies |Fetched department lists service layer
21 |2025-06-09 16:48:44.0569 |DEBUG |LearningPhase2 |LearningPhase2.Pages.Companies.CompanyListModel.OnGet |DepartmentList page OnGet method completed
30 |2025-06-09 16:57:06.0294 |DEBUG |LearningPhase2 |LearningPhase2.Pages.Companies.CompanyListModel.OnGet |Calling Departmentlist OnGet method
30 |2025-06-09 16:57:06.0294 |DEBUG |Service Layer |SeviceLayer.CompanyManager.GetAllCompanies |Fetching department lists service layer
30 |2025-06-09 16:57:06.1089 |DEBUG |Service Layer |SeviceLayer.CompanyManager.GetAllCompanies |Fetched department lists service layer
