5 |2025-06-03 09:39:31.5506 |DEBUG |LearningPhase2 |LearningPhase2.Pages.Department.DepartmentListModel.OnGet |Calling list OnGet method
5 |2025-06-03 09:39:31.9946 |DEBUG |LearningPhase2 |LearningPhase2.Pages.Department.DepartmentListModel.OnGet |List page OnGet method completed
11 |2025-06-03 09:39:40.0812 |DEBUG |LearningPhase2 |LearningPhase2.Pages.Department.DepartmentListModel.OnGet |Calling list OnGet method
11 |2025-06-03 09:39:40.1955 |DEBUG |LearningPhase2 |LearningPhase2.Pages.Department.DepartmentListModel.OnGet |List page OnGet method completed
22 |2025-06-03 09:40:46.9911 |DEBUG |LearningPhase2 |LearningPhase2.Pages.Department.DepartmentListModel.OnGet |Calling list OnGet method
22 |2025-06-03 09:40:46.9911 |DEBUG |LearningPhase2 |LearningPhase2.Pages.Department.DepartmentListModel.OnGet |List page OnGet method completed
5 |2025-06-03 09:42:06.9333 |DEBUG |LearningPhase2 |LearningPhase2.Pages.Department.DepartmentListModel.OnGet |Calling list OnGet method
5 |2025-06-03 09:42:07.3808 |DEBUG |LearningPhase2 |LearningPhase2.Pages.Department.DepartmentListModel.OnGet |List page OnGet method completed
5 |2025-06-03 09:43:29.6739 |DEBUG |LearningPhase2 |LearningPhase2.Pages.Department.DepartmentListModel.OnGet |Calling list OnGet method
5 |2025-06-03 09:43:30.2210 |DEBUG |LearningPhase2 |LearningPhase2.Pages.Department.DepartmentListModel.OnGet |List page OnGet method completed
10 |2025-06-03 09:43:35.1382 |DEBUG |LearningPhase2 |LearningPhase2.Pages.Department.DepartmentListModel.OnGet |Calling list OnGet method
10 |2025-06-03 09:43:35.1382 |DEBUG |LearningPhase2 |LearningPhase2.Pages.Department.DepartmentListModel.OnGet |List page OnGet method completed
7 |2025-06-03 09:45:28.1804 |DEBUG |LearningPhase2 |LearningPhase2.Pages.Department.DepartmentListModel.OnGet |Calling list OnGet method
7 |2025-06-03 09:45:28.5791 |DEBUG |LearningPhase2 |LearningPhase2.Pages.Department.DepartmentListModel.OnGet |List page OnGet method completed
15 |2025-06-03 09:45:45.2770 |DEBUG |LearningPhase2 |LearningPhase2.Pages.Department.DepartmentListModel.OnGet |Calling list OnGet method
15 |2025-06-03 09:45:45.2770 |DEBUG |LearningPhase2 |LearningPhase2.Pages.Department.DepartmentListModel.OnGet |List page OnGet method completed
15 |2025-06-03 09:45:51.7681 |DEBUG |LearningPhase2 |LearningPhase2.Pages.Department.DepartmentListModel.OnGet |Calling list OnGet method
15 |2025-06-03 09:45:51.7719 |DEBUG |LearningPhase2 |LearningPhase2.Pages.Department.DepartmentListModel.OnGet |List page OnGet method completed
5 |2025-06-03 09:46:12.8903 |DEBUG |LearningPhase2 |LearningPhase2.Pages.Department.DepartmentListModel.OnGet |Calling list OnGet method
5 |2025-06-03 09:46:12.8903 |DEBUG |LearningPhase2 |LearningPhase2.Pages.Department.DepartmentListModel.OnGet |List page OnGet method completed
7 |2025-06-03 09:46:32.0108 |DEBUG |LearningPhase2 |LearningPhase2.Pages.EmployeeNTier.ListModel.OnGet |Calling list OnGet method
7 |2025-06-03 09:46:32.1093 |DEBUG |LearningPhase2 |LearningPhase2.Pages.EmployeeNTier.ListModel.OnGet |List page OnGet method completed
7 |2025-06-03 09:51:16.2469 |DEBUG |LearningPhase2 |LearningPhase2.Pages.EmployeeNTier.ListModel.OnGet |Calling list OnGet method
7 |2025-06-03 09:51:16.6674 |DEBUG |LearningPhase2 |LearningPhase2.Pages.EmployeeNTier.ListModel.OnGet |List page OnGet method completed
7 |2025-06-03 09:52:17.0304 |DEBUG |LearningPhase2 |LearningPhase2.Pages.Department.DepartmentListModel.OnGet |Calling list OnGet method
7 |2025-06-03 09:52:17.1431 |DEBUG |LearningPhase2 |LearningPhase2.Pages.Department.DepartmentListModel.OnGet |List page OnGet method completed
21 |2025-06-03 09:52:46.0887 |DEBUG |LearningPhase2 |LearningPhase2.Pages.Department.DepartmentListModel.OnGet |Calling list OnGet method
21 |2025-06-03 09:52:46.0887 |DEBUG |LearningPhase2 |LearningPhase2.Pages.Department.DepartmentListModel.OnGet |List page OnGet method completed
24 |2025-06-03 09:53:59.7108 |DEBUG |LearningPhase2 |LearningPhase2.Pages.Department.DepartmentListModel.OnGet |Calling list OnGet method
24 |2025-06-03 09:53:59.7108 |DEBUG |LearningPhase2 |LearningPhase2.Pages.Department.DepartmentListModel.OnGet |List page OnGet method completed
35 |2025-06-03 09:58:38.0520 |DEBUG |LearningPhase2 |LearningPhase2.Pages.Department.DepartmentListModel.OnGet |Calling list OnGet method
35 |2025-06-03 09:58:38.0576 |DEBUG |LearningPhase2 |LearningPhase2.Pages.Department.DepartmentListModel.OnGet |List page OnGet method completed
32 |2025-06-03 09:58:42.1581 |DEBUG |LearningPhase2 |LearningPhase2.Pages.EmployeeNTier.ListModel.OnGet |Calling list OnGet method
32 |2025-06-03 09:58:42.2453 |DEBUG |LearningPhase2 |LearningPhase2.Pages.EmployeeNTier.ListModel.OnGet |List page OnGet method completed
